"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05"
9,"California",1,157900,157800,157500,157300,157000,156800,156900,157200,157500,158100,159000,159800,160000,160300,160600,161000,161300,161900,162600,163700,165000,166400,168100,168100,168000,169500,171900,173000,174300,175300,176600,177900,179000,180000,181100,182800,184400,185700,187000,188800,190600,192400,194300,196300,198700,201300,204200,206900,209600,212300,215000,217500,219900,222400,225000,227500,230000,232900,235900,238700,241400,243600,245500,247700,250000,252200,254200,256200,258600,261300,264100,267000,270100,273500,277200,281200,285500,290100,294400,298800,303200,307500,311500,315800,320100,323900,327400,331400,336000,341200,346800,352700,359000,365700,372600,380100,388600,397900,407600,417000,425500,433100,439900,446100,452000,457700,463500,469700,476000,482000,488500,495600,502700,509000,514600,520100,524100,526300,527900,529500,530900,531700,531800,531200,529900,528100,526200,524300,521600,518900,517400,516000,513900,510900,507000,502600,497800,492600,487400,481800,474500,465900,456300,445900,435300,425300,415500,406000,397000,388600,380500,372500,366100,362200,358800,354600,350000,345600,341800,338700,336200,334500,333100,331800,332600,334300,334900,334100,334000,333800,332600,330900,329400,328200,326600,325100,323400,321300,319200,317100,314700,312000,309800,308000,306000,304200,303300,303000,302400,301600,301400,302000,303300,304900,307100,309500,312000,314700,317800,321600,325500,328900,333100,339200,346200,353400,360900,368000,374400,380000,384800,389000,392800,396200,399400,402800,406200,409300,412100,414800,417200,419300,421300,423300,425300,427100,428900,430900,433200,435500,437800,440400,443400,446300,448900,451300,453300,455000,457400,460200,462500,464200
54,"Texas",2,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101200,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107600,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121100,121600,121900,122000,122200,122700,123200,123600,123800,124300,125100,125900,126400,126900,127400,128000,128100,128400,128900,129500,130300,131100,131400,131400,131700,132200,132600,132900,133300,133500,133700,133900,134000,133300,131900,130400,129200,128200,127100,126600,126800,127200,127600,128000,128800,129900,130800,131200,131700,132200,132600,132900,133200,133200,132900,133000,131100,127700,125900,126400,126200,125800,125600,125300,124700,124200,124000,123500,123400,123700,124000,123700,123400,123000,122600,122200,121700,121200,121100,120900,121100,121600,122000,122000,122100,122100,122400,122800,123100,123200,123200,123100,123500,124300,125000,125300,125800,126500,127200,127800,128500,129200,129600,129800,130400,131300,132000,132400,133100,134000,134800,135700,136500,137200,137700,138200,139000,139900,141000,142000,143000,144000,145300,146600,147500,148200,149200,150100,151200,152300,153200,154000,155200,156200
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333600,333100,332500,331900,330100,327500,325800,324900,323200,320800,318200,316000,314000,312100,310100,309700,300500,285800,277600,277500,275900,274400,272800,271200,270000,268900,268200,267300,268300,270600,271900,270800,269500,268300,267000,265400,263900,262500,261500,260600,259800,259000,258000,256900,256300,256000,255300,254300,253400,252400,251300,250400,249500,248300,247100,246600,246400,245900,245600,245700,245900,246400,246900,246800,246600,246300,246100,246100,246200,246800,247500,248400,249300,249700,249800,250100,250500,251000,251500,251600,252000,253000,253900,254800,255600,255800,255900,256600,257300,257700,258200,258900,259200,259000,258900,259400,260200,261100,261500,261700,262300,263000,263600,264200,264900,265500
14,"Florida",4,86300,86600,86700,86600,86500,86500,86400,86700,86900,87200,87700,88200,88200,88300,88700,89100,89300,89600,89900,90200,90500,91100,91700,92200,92400,92600,92800,92900,93200,93300,93500,93900,94400,95000,95600,96200,96600,96800,97100,97500,98200,98900,99500,99900,100600,101400,102300,102800,103500,104300,105100,105800,106500,107200,108000,108800,109600,110500,111200,111900,112900,113900,114900,115800,116700,117600,118500,119600,120600,121500,122600,123900,125000,126000,127000,128200,129100,130200,131500,132800,133900,135400,136700,138000,139300,140500,141700,143100,144500,146000,147500,149100,150800,152500,154400,156500,158800,161300,164000,167100,170500,174000,177300,180800,184500,188100,192000,196600,201700,207100,212800,218400,223900,229200,234200,238900,242500,245300,248000,250400,252300,253600,254100,254000,253800,252900,251700,250600,249100,247100,245000,243000,240700,238300,235700,232900,229800,226800,223800,220800,217300,213300,209000,204600,200100,195900,191900,187900,184100,180500,176600,172400,169200,167500,165900,163300,160500,157800,155300,153100,151300,149700,148600,147400,146500,145800,145100,144000,143100,142200,141400,140600,139500,138100,136900,135800,134500,133300,132300,131500,130700,130000,129200,128400,127600,126900,126400,126100,126200,126300,126700,127400,128300,129200,130000,130800,131700,132500,133200,134300,135400,136400,137400,138700,140200,141800,143400,144900,146600,148600,150700,152400,153800,154900,155900,157100,158200,159100,160000,161200,162500,163500,164500,165900,167200,168100,168800,170000,171100,172200,173300,174800,176300,177900,179300,180700,182100,183000,183900,185000,186600,188000
21,"Illinois",5,113900,114400,114500,113900,113100,112900,113000,113300,114000,115100,115900,116000,115900,116000,116200,116600,117000,117300,117700,118100,118400,118700,118900,119000,119100,119300,119600,119900,120300,120800,121200,121600,121800,122100,122700,123400,123800,124300,124900,125500,126000,126600,127500,128300,128800,129500,130200,131000,131700,132400,133300,134000,134400,134900,135700,136500,137500,138500,139300,140000,140900,141800,142600,143600,144700,145800,146800,147700,148500,149200,149800,150700,151600,152200,152900,153600,154100,154900,156000,157200,158100,158900,160000,161500,162900,164300,165800,167100,167900,168400,169000,169700,170400,171400,172300,173100,173900,174500,174900,176400,178800,180100,180000,180500,181600,182900,184200,185400,186400,187500,188700,189700,190300,191100,192600,194000,194800,195900,196800,197300,197900,198600,199100,199400,200700,202000,202300,202000,202500,202900,203300,203500,203400,203400,203300,202800,201900,201500,201300,201000,200600,200300,199600,198400,197200,196000,194800,193600,192600,191500,190400,189000,187800,186400,184900,183200,181700,179800,178100,176600,175200,174100,173300,172900,171500,169500,167900,167000,166200,166100,165700,164500,162800,161200,159800,158600,157500,156700,156000,155100,153900,152300,150600,149300,148300,147200,146300,145500,144700,143500,142700,142300,142200,141900,141800,142200,142100,141400,141300,141400,141300,141200,141300,141700,142300,143000,143900,145000,145900,146800,147300,147500,148000,149000,149700,150300,150500,150600,151100,151600,152300,152900,153300,153500,153700,154000,154100,154200,154700,155300,155800,156100,156400,156600,157100,157800,158500,158800,159400,160000,160600,161100
47,"Pennsylvania",6,83300,83700,83800,83600,83700,83900,83900,83700,83800,84000,84200,84600,84800,84700,84800,85100,85200,85300,85500,85800,86100,86400,86700,87200,87500,87600,87600,87800,88000,87800,88100,88600,88900,89100,89500,89700,89900,89900,89900,90100,90100,90200,90400,90700,90900,91200,91700,92200,92500,92800,93200,93700,94100,94300,94700,95100,95400,95700,96000,96500,97300,98100,98500,98800,99300,99900,100300,100800,101400,102000,102600,103100,103400,103900,104500,105300,105900,106700,107300,108200,109000,109800,110700,111500,112200,113100,114000,114800,115700,116800,117900,118800,119600,120600,121300,122000,122800,123500,124500,125600,126600,127500,128600,129600,130500,131500,132700,133800,135000,136200,137500,138700,140000,141200,142100,143200,144300,145000,145500,146100,146700,147400,148100,148900,149500,149900,150400,150900,151100,151000,151200,151600,152300,152900,153200,153400,153800,154100,154300,154200,154000,153700,153400,153400,153300,153100,153100,153000,152900,152900,152700,152200,152200,153100,154000,154200,154000,153700,153100,152500,152300,152100,152000,151800,152000,152300,152300,152200,152200,152100,151800,151200,150400,149600,149100,149000,148800,148200,147800,147300,146800,146400,146200,145700,145200,144800,144500,144400,144000,143600,143200,143000,142700,142600,142600,142700,142900,143200,143300,143500,143800,143900,143800,143800,144100,144200,144100,144400,144700,144900,145100,145300,145500,145600,145900,146100,146400,146900,147500,147900,148000,148100,148200,148200,148300,148200,148200,148400,148700,149100,149700,150200,150900,151400,151700,152000,152200,152300,152600,153200,153600,153800
44,"Ohio",7,88100,88300,88500,88700,88800,89100,89400,89600,89700,90100,90500,90900,91200,91500,91800,92200,92400,92700,93300,93700,94000,94300,94600,95000,95300,95400,95600,95800,96200,96600,96800,97000,97300,97800,98400,98900,99300,99700,100100,100600,101100,101400,101700,102100,102500,102900,103300,103800,104300,105100,105700,106100,106600,106900,107100,107500,107900,108300,108700,109100,109200,109500,110100,110400,110600,110800,111100,111300,111700,112100,112500,112600,112900,113000,113200,113700,114000,114300,114700,115100,115400,115700,116000,116400,116900,117400,117800,118100,118500,119000,119600,120100,120500,120700,120900,121300,121600,121800,122000,122200,122500,122900,123200,123500,123800,124200,124600,124800,125000,125200,125500,125700,125800,126000,126100,126400,126700,126800,126800,126800,126900,126900,126800,126700,126500,126500,126500,126300,125900,125700,125600,125500,125500,125200,124700,124400,124300,123900,123500,123100,122800,122100,121300,120700,120000,119400,119000,118500,118100,117700,117300,116800,116200,115900,115800,115600,115200,114700,114300,114000,113700,113600,113600,113400,113600,114300,114400,113900,113700,113600,113700,113700,113500,113000,112200,111600,111200,110800,110300,109900,109700,109600,109400,109100,108800,108400,108000,107700,107500,107200,107200,107400,107800,108000,108100,108100,108200,108200,108400,108500,108400,108400,108500,108700,108800,108900,109000,109200,109600,110000,110400,110900,111300,111300,111600,111900,112000,112100,112600,113000,113300,113700,114200,114700,114900,115100,115400,115800,116200,116700,117200,117500,117900,118500,119000,119400,119600,119800,120000,120400,120800,121100
30,"Michigan",8,87600,87100,87300,88200,87900,87300,87000,87500,87700,87600,87600,88000,88600,89400,90000,90300,90700,91100,91500,92200,93100,94000,94300,94200,94700,95500,96000,96400,97100,98000,98900,99500,100000,101000,102300,103500,104600,105700,106700,107700,108700,109600,110200,110900,111600,112400,113500,114400,115000,115600,116400,116900,117300,117800,118400,118900,119700,120600,121500,122000,122500,123200,123800,124500,125300,125900,126100,126300,126500,126700,127000,127300,127500,127700,128000,128400,129000,129800,130700,131500,131900,132200,132600,133100,133600,134000,134300,134600,134900,135300,135600,136000,136400,136800,137200,137500,137600,137900,138200,138600,139000,139500,139900,140200,140500,140800,141000,141400,141800,142100,142200,142400,142500,142500,142600,142700,142700,142600,142300,141900,141500,141100,140700,140400,139800,139000,138600,138500,138200,137500,136800,136300,135700,134900,133900,133100,132400,131800,130900,129900,128900,127800,126100,124500,122900,121300,119700,118000,116300,114700,113100,111000,110000,110200,110300,109500,108500,107600,106700,105600,104500,103800,103300,103100,102000,100300,99100,98800,98500,98600,98700,98600,98000,97200,96600,95900,95200,94400,93800,93300,92500,91900,91400,90900,90500,90300,90200,89900,89800,89800,89900,90000,90500,90900,91100,91600,92300,93000,93500,94200,95000,95400,96000,96800,97700,98600,99600,100800,102100,103400,104400,105300,106400,107400,108500,109200,109800,110400,111200,112200,113100,113800,114200,114800,115400,115800,116400,116900,117300,117700,118300,118900,119300,119800,120200,120700,121300,122000,122300,122800,123600,124300
16,"Georgia",9,92000,92400,92600,92700,92700,92900,93300,93700,94000,94300,94700,95000,95200,95700,96200,96900,97600,98000,98500,99000,99500,100000,100600,101300,101700,102100,102600,103400,104000,104700,105500,106000,106500,107400,108100,108500,109000,109800,110600,111500,112100,112700,113500,114100,114800,115800,116900,117800,118400,119100,119800,120400,121200,121800,122600,123200,123700,124100,124900,125600,126300,127000,127600,127900,128100,128400,128600,129000,129600,130200,130500,131000,131400,131900,132100,132500,133100,133600,133800,134300,134700,134800,135000,135600,136000,136500,136800,137100,137500,138000,138300,138800,139500,140000,140300,140800,141200,141300,141600,142100,142600,143200,143900,144300,144800,145500,146200,146600,147100,147800,148300,148800,149600,150300,151100,152000,152400,152800,153200,153600,153900,154500,155100,155500,155900,156200,156600,156900,156800,156300,156100,156000,156100,156300,156500,156500,156600,156500,156200,156000,155800,155300,154500,153900,152900,151800,150800,149800,148600,147300,145800,144100,143000,143000,143000,142400,141400,140200,139300,138600,137700,136800,136300,135800,135800,135800,135300,134600,134500,134300,133500,132300,131000,129800,128600,127300,126000,124800,123400,122200,121200,120500,120000,119200,118500,117800,117300,117000,116500,115700,115500,115600,115600,115500,115600,116000,116400,116800,117100,117400,117700,118100,118600,118800,119000,119400,119900,120700,122000,123100,124000,125000,125800,126500,127300,128000,128800,129800,130700,131300,131900,132600,133300,134000,134600,135000,135300,135900,136600,137200,138000,138800,139700,140500,141300,142400,143200,143500,144100,145100,146100,147000
36,"North Carolina",10,91700,91900,92000,92300,92600,92900,93100,93400,93700,94300,94900,95400,96100,97000,97700,98200,98800,99500,100100,100600,101200,101800,102500,103200,103800,104200,104900,105700,106300,106600,107300,107900,108400,108600,108800,109400,109900,110400,111100,111600,111900,112300,112600,112600,113100,113700,114200,114600,115000,115500,115900,116100,116300,116900,117600,118200,118500,119100,119700,119900,119900,120100,120200,120200,120400,120600,120800,121000,121100,121300,121500,121900,122100,122200,122300,122800,123200,123200,123400,123900,124300,124500,124500,124700,125100,125600,125700,125800,126000,126300,126600,126900,127200,127600,128000,128400,128600,128900,129400,129900,130400,130900,131500,131900,132300,132700,133500,134100,134600,135000,135700,136500,137300,137900,138500,139300,140200,140800,141100,141600,142200,142800,143400,144000,144600,145100,145500,146100,146500,146900,147300,147800,148400,148800,149200,149800,150400,151000,151300,151300,151300,151100,151000,151100,151200,151200,151200,151100,150800,150500,149900,149100,148600,148600,148600,148300,147900,147400,147000,146600,146100,145700,145500,145200,145200,145600,145600,145000,144600,144500,144100,143400,142700,142300,142100,142000,141600,141000,140400,140000,139700,139600,139400,139000,138600,138300,138100,137800,137600,137500,137400,137400,137300,137300,137600,137800,137900,138000,138200,138400,138400,138600,138800,139000,139200,139300,139400,139800,140200,140600,140900,141300,141500,141800,142200,142600,142600,142600,142700,142900,143100,143200,143300,143700,144000,144000,144200,144700,145200,145800,146400,146900,147400,147900,148300,148800,149400,149700,150100,150600,151400,151900
